# STATION: KSJC
# STATION NAME: San Jose, San Jose International Airport
# LATITUDE: 37.35917
# LONGITUDE: -121.92417
# ELEVATION [ft]: 59
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,sea_level_pressure_set_1,precip_accum_one_hour_set_1,visibility_set_1,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,Pascals,Millimeters,Statute miles,Celsius,Pascals,Pascals
KSJC,12/30/2020 03:30 PST,102742.98,3.0,,69.64,1.54,160.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 03:35 PST,102742.98,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 03:40 PST,102742.98,3.0,,74.96,0.0,0.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/30/2020 03:45 PST,102742.98,3.0,,74.96,0.0,0.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/30/2020 03:50 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 03:53 PST,102776.84,3.9,-1.1,69.83,0.0,0.0,102750.0,,10.0,-1.17,102558.62,102786.23
KSJC,12/30/2020 03:55 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 04:00 PST,102742.98,4.0,,69.85,1.54,120.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 04:05 PST,102742.98,3.0,,69.64,1.54,140.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 04:10 PST,102742.98,3.0,,74.96,1.54,130.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/30/2020 04:15 PST,102742.98,3.0,,69.64,1.54,130.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 04:20 PST,102742.98,3.0,,74.96,1.54,140.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/30/2020 04:25 PST,102742.98,3.0,,69.64,1.54,130.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 04:30 PST,102742.98,2.0,,74.78,1.54,130.0,,,10.0,-2.06,102524.83,102753.94
KSJC,12/30/2020 04:35 PST,102742.98,2.0,,74.78,1.54,140.0,,,10.0,-2.06,102524.83,102753.94
KSJC,12/30/2020 04:40 PST,102709.12,3.0,,69.64,2.06,130.0,,,10.0,-2.07,102491.04,102719.25
KSJC,12/30/2020 04:45 PST,102709.12,3.0,,69.64,1.54,140.0,,,10.0,-2.07,102491.04,102719.25
KSJC,12/30/2020 04:50 PST,102742.98,3.0,,69.64,1.54,130.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 04:53 PST,102742.98,2.8,-1.7,72.22,0.0,0.0,102720.0,,10.0,-1.77,102524.83,102753.28
KSJC,12/30/2020 04:55 PST,102742.98,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 05:00 PST,102742.98,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 05:05 PST,102742.98,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 05:10 PST,102776.84,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102558.62,102786.98
KSJC,12/30/2020 05:15 PST,102776.84,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102558.62,102786.98
KSJC,12/30/2020 05:20 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 05:25 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 05:30 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
KSJC,12/30/2020 05:35 PST,102776.84,3.0,,74.96,1.54,110.0,,,10.0,-1.06,102558.62,102786.98
KSJC,12/30/2020 05:40 PST,102776.84,2.0,,74.78,0.0,0.0,,,10.0,-2.06,102558.62,102787.81
KSJC,12/30/2020 05:45 PST,102810.71,3.0,,69.64,0.0,0.0,,,10.0,-2.07,102592.41,102820.84
